# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       31.949      406.910
       0.001        0.000       31.949      406.910
       0.002        0.000       31.949      407.168
       0.003        0.000       32.207      407.168
       0.004        0.000       32.207      408.559
       0.005        0.000       32.465      409.500
       0.006     1037.900       32.723      409.629
       0.007        0.000       32.980      409.887
       0.008        0.000       33.238      410.145
       0.009        0.000       33.238      410.273
       0.010        0.000       33.238      410.273
       0.011        0.000       33.238      410.402
       0.012        0.000       33.496      410.531
       0.012        0.000       33.496      412.895
       0.013        0.000       33.754      412.895
       0.014        0.000       34.012      413.023
       0.015     1060.600       34.270      413.172
       0.016        0.000       34.527      413.430
       0.017        0.000       34.527      413.430
       0.018        0.000       34.527      413.559
       0.019        0.000       34.527      413.691
       0.020        0.000       34.785      413.691
       0.021        0.000       34.785      413.820
       0.021        0.000       34.785      416.039
       0.022      960.200       35.043      416.039
       0.023        0.000       35.301      416.301
       0.024        0.000       35.559      416.559
       0.025        0.000       35.816      416.688
       0.026        0.000       35.816      416.820
       0.027        0.000       35.816      416.820
       0.028        0.000       35.816      416.953
       0.029        0.000       36.074      416.953
       0.030        0.000       36.074      416.953
       0.031        0.000       36.074      417.086
       0.032        0.000       36.074      419.352
       0.032        0.000       36.332      419.352
       0.033        0.000       36.590      419.488
       0.034     1072.600       36.590      419.617
       0.035        0.000       36.848      419.746
       0.036        0.000       37.105      420.023
       0.037        0.000       37.105      420.023
       0.038        0.000       37.105      420.023
       0.039     1087.500       37.105      420.152
       0.040        0.000       37.105      420.281
       0.041        0.000       37.363      420.281
       0.041        0.000       37.363      420.281
       0.042        0.000       37.363      420.410
       0.043        0.000       37.363      420.410
       0.044        0.000       37.621      422.691
       0.045        0.000       37.621      422.691
       0.046        0.000       37.879      422.820
       0.047        0.000       38.137      422.949
       0.048        0.000       38.137      423.078
       0.049        0.000       38.395      423.336
       0.050        0.000       38.395      423.336
       0.051        0.000       38.395      423.469
       0.052        0.000       38.395      423.469
       0.052     1212.100       38.652      423.469
       0.053        0.000       38.652      423.609
       0.054        0.000       38.652      423.609
       0.055        0.000       38.652      423.738
       0.056        0.000       38.652      423.738
       0.057        0.000       38.910      425.121
       0.058     1127.000       38.910      426.191
       0.058        0.000       38.910      427.133
       0.059        0.000       39.168      427.133
       0.060        0.000       39.168      427.133
       0.061        0.000       39.426      427.133
       0.062        0.000       39.426      427.391
       0.063        0.000       39.684      427.648
       0.064        0.000       39.941      427.648
       0.065        0.000       39.941      427.781
       0.066     1211.800       39.941      427.781
       0.067        0.000       39.941      427.914
       0.068        0.000       39.941      427.914
       0.068        0.000       40.199      428.051
       0.069        0.000       40.199      428.184
       0.070        0.000       40.457      429.555
       0.071        0.000       40.457      430.496
       0.072        0.000       40.457      431.570
       0.073        0.000       40.715      431.570
       0.074        0.000       40.715      431.570
       0.075        0.000       40.973      431.703
       0.076        0.000       41.230      431.977
       0.077        0.000       41.230      432.113
       0.078        0.000       41.488      432.242
       0.079        0.000       41.488      432.242
       0.079     1190.100       41.488      432.242
       0.080        0.000       41.488      432.242
       0.081        0.000       41.488      432.371
       0.082        0.000       41.746      432.629
       0.083        0.000       41.746      434.902
       0.084        0.000       42.004      435.996
       0.085        0.000       42.262      435.996
       0.086        0.000       42.262      435.996
       0.087        0.000       42.262      436.141
       0.088        0.000       42.520      436.270
       0.089     1102.200       42.777      436.527
       0.090        0.000       42.777      436.527
       0.091        0.000       42.777      436.527
       0.092        0.000       42.777      436.656
       0.093        0.000       42.777      436.656
       0.093        0.000       43.035      436.785
       0.094        0.000       43.035      436.918
       0.095        0.000       43.035      436.918
       0.096        0.000       43.035      436.918
       0.097        0.000       43.293      438.398
