# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       32.078      407.180
       0.001        0.000       32.336      407.309
       0.002        0.000       32.336      409.539
       0.003        0.000       32.594      409.539
       0.004        0.000       32.852      409.797
       0.005        0.000       33.109      410.055
       0.006        0.000       33.367      410.184
       0.007        0.000       33.367      410.312
       0.008     1017.100       33.367      410.441
       0.009        0.000       33.367      410.441
       0.010        0.000       33.625      411.855
       0.011        0.000       33.883      412.934
       0.012        0.000       34.141      412.934
       0.013        0.000       34.398      413.207
       0.014        0.000       34.656      413.465
       0.015        0.000       34.656      413.594
       0.016        0.000       34.656      413.723
       0.017        0.000       34.656      413.723
       0.018        0.000       34.914      413.852
       0.019        0.000       34.914      416.078
       0.020        0.000       35.172      416.078
       0.021      917.000       35.430      416.211
       0.022        0.000       35.688      416.469
       0.023        0.000       35.945      416.727
       0.024        0.000       35.945      416.727
       0.025        0.000       35.945      416.859
       0.025        0.000       35.945      416.992
       0.026        0.000       35.945      416.992
       0.027        0.000       36.203      417.125
       0.028        0.000       36.203      417.125
       0.029        0.000       36.203      419.391
       0.030        0.000       36.461      419.391
       0.031     1055.700       36.719      419.523
       0.032        0.000       36.719      419.652
       0.033        0.000       36.977      419.781
       0.034        0.000       37.234      420.059
       0.035        0.000       37.234      420.059
       0.036        0.000       37.234      420.188
       0.036        0.000       37.234      420.188
       0.037        0.000       37.492      420.316
       0.038        0.000       37.492      420.316
       0.039        0.000       37.492      420.449
       0.040        0.000       37.492      420.449
       0.041      950.200       37.492      422.730
       0.042        0.000       37.750      422.730
       0.043        0.000       38.008      422.730
       0.044        0.000       38.266      422.988
       0.045        0.000       38.266      423.246
       0.046        0.000       38.523      423.375
       0.047        0.000       38.523      423.375
       0.048        0.000       38.523      423.508
       0.048        0.000       38.523      423.508
       0.049        0.000       38.781      423.648
       0.051        0.000       38.781      423.648
       0.051        0.000       38.781      423.781
       0.052        0.000       38.781      423.781
       0.053        0.000       38.781      423.781
       0.054     1011.600       39.039      426.230
       0.055        0.000       39.039      427.172
       0.056        0.000       39.039      427.172
       0.057      953.600       39.297      427.172
       0.058        0.000       39.555      427.301
       0.059        0.000       39.555      427.430
       0.060        0.000       39.812      427.691
       0.061        0.000       40.070      427.820
