# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       42.410      404.457
       0.003      245.900       43.184      405.375
       0.007        0.000       43.957      406.039
       0.010      213.700       44.215      406.430
       0.014        0.000       44.215      406.430
       0.015        0.000       44.215      406.430
       0.016        0.000       44.215      406.430
       0.018        0.000       44.215      406.562
       0.019        0.000       44.473      406.836
       0.020        0.000       44.473      406.836
       0.021        0.000       44.730      406.836
       0.022      824.400       44.988      407.109
       0.023        0.000       45.246      407.367
       0.024        0.000       45.246      407.496
       0.026        0.000       45.246      407.625
       0.027        0.000       45.504      407.926
       0.028        0.000       45.504      407.926
       0.029        0.000       45.762      407.926
       0.030        0.000       45.762      408.059
       0.031        0.000       46.020      408.461
       0.032      888.100       46.020      408.461
       0.034        0.000       46.020      408.605
       0.035        0.000       46.277      408.734
       0.040        0.000       46.277      408.734
       0.042        0.000       46.535      408.992
       0.043        0.000       46.535      408.992
       0.044      919.500       46.793      409.121
       0.045        0.000       46.793      409.250
       0.047        0.000       47.051      409.531
       0.047     1087.800       47.309      409.660
       0.048        0.000       47.309      409.660
       0.049        0.000       47.309      409.789
       0.050        0.000       47.309      409.789
       0.051        0.000       47.566      409.922
       0.052        0.000       47.566      409.922
       0.053        0.000       47.566      410.184
       0.054        0.000       47.566      410.184
       0.055        0.000       47.824      410.312
       0.057        0.000       47.824      410.461
       0.057        0.000       47.824      410.461
       0.059        0.000       48.082      410.609
       0.060        0.000       48.340      410.867
       0.061        0.000       48.340      410.867
       0.062      963.300       48.598      411.016
       0.063        0.000       48.598      411.145
       0.064        0.000       48.855      411.402
       0.065        0.000       48.855      411.402
       0.066        0.000       48.855      411.535
       0.067        0.000       48.855      411.535
       0.068        0.000       48.855      411.535
       0.069        0.000       49.113      411.664
       0.070        0.000       49.371      411.926
       0.071        0.000       49.371      412.055
       0.072        0.000       49.629      412.184
       0.073        0.000       49.629      412.312
       0.074        0.000       49.629      412.441
       0.075      895.100       49.887      412.570
       0.076        0.000       50.145      412.699
       0.077        0.000       50.145      412.977
       0.078        0.000       50.402      412.977
       0.079        0.000       50.402      413.105
       0.080        0.000       50.402      413.105
       0.081        0.000       50.402      413.234
       0.082        0.000       50.402      413.234
       0.083        0.000       50.660      413.363
       0.084        0.000       50.660      413.492
       0.085      863.600       50.660      413.492
       0.086        0.000       50.660      413.492
       0.087        0.000       50.660      413.492
       0.088        0.000       50.660      413.492
       0.089        0.000       50.660      413.492
       0.091        0.000       50.660      413.621
       0.092        0.000       50.918      413.762
       0.093        0.000       50.918      413.762
       0.094        0.000       50.918      413.762
       0.095        0.000       50.918      413.762
       0.096        0.000       50.918      413.762
       0.097        0.000       50.918      413.762
       0.098        0.000       50.918      413.762
       0.099        0.000       50.918      413.762
       0.100        0.000       50.918      413.762
       0.101      407.600       50.918      413.762
       0.104        0.000       50.918      413.762
       0.105        0.000       50.918      413.762
       0.106        0.000       50.918      413.762
       0.107        0.000       50.918      413.762
       0.108        0.000       50.918      413.762
       0.109        0.000       50.918      413.762
       0.110        0.000       50.918      413.762
       0.111        0.000       50.918      413.762
       0.112        0.000       50.918      413.762
       0.113        0.000       50.918      413.762
       0.114     1063.500       50.918      413.762
       0.115        0.000       50.918      413.762
       0.116        0.000       50.918      413.762
       0.117        0.000       50.918      413.762
       0.118        0.000       50.918      413.762
       0.119        0.000       50.918      413.762
       0.120        0.000       50.918      413.762
       0.121        0.000       50.918      413.762
       0.122        0.000       50.918      413.762
       0.123        0.000       50.918      413.762
       0.124     1040.700       50.918      413.762
       0.125        0.000       50.918      413.762
       0.126        0.000       50.918      413.762
       0.127        0.000       50.918      413.762
       0.128        0.000       50.918      413.762
       0.129        0.000       50.918      413.762
       0.130        0.000       50.918      413.762
       0.131        0.000       50.918      413.762
       0.132        0.000       50.918      413.762
       0.133        0.000       50.918      413.762
       0.134      979.800       50.918      413.762
       0.135        0.000       50.918      413.762
       0.136        0.000       50.918      413.762
       0.137        0.000       50.918      413.762
       0.139        0.000       50.918      413.762
       0.140        0.000       50.918      413.762
       0.141        0.000       50.918      413.762
       0.142        0.000       50.918      413.762
       0.143        0.000       50.918      413.762
       0.144        0.000       50.918      413.762
       0.145        0.000       50.918      413.762
       0.146      948.700       50.918      413.762
       0.147        0.000       50.918      413.762
       0.148        0.000       50.918      413.762
       0.149        0.000       50.918      413.762
       0.150        0.000       50.918      413.762
       0.151        0.000       50.918      413.762
       0.152        0.000       50.918      413.762
       0.153        0.000       50.918      413.762
       0.154        0.000       50.918      413.762
       0.155        0.000       50.918      413.762
       0.156        0.000       50.918      413.762
       0.157      903.100       50.918      413.762
       0.158        0.000       50.918      413.762
       0.159        0.000       50.918      413.762
       0.160        0.000       50.918      413.762
       0.161        0.000       50.918      413.762
       0.162      938.800       50.918      413.762
       0.164        0.000       50.918      413.762
       0.165        0.000       50.918      413.762
       0.166        0.000       50.918      413.762
       0.167        0.000       50.918      413.762
       0.168        0.000       50.918      413.762
       0.169        0.000       50.918      413.762
       0.170      809.000       50.918      413.762
       0.171        0.000       50.918      413.762
       0.172        0.000       50.918      413.762
       0.173        0.000       50.918      413.762
       0.174        0.000       50.918      413.762
       0.175        0.000       50.918      413.762
       0.176        0.000       50.918      413.762
       0.177      919.400       50.918      413.762
       0.178        0.000       50.918      413.762
       0.179        0.000       50.918      413.762
       0.180        0.000       50.918      413.762
       0.181        0.000       50.918      413.762
       0.183        0.000       50.918      413.762
       0.184        0.000       50.918      413.762
       0.185        0.000       50.918      413.762
       0.186        0.000       50.918      413.762
       0.187        0.000       50.918      413.762
       0.188        0.000       50.918      413.762
       0.189        0.000       50.918      413.762
       0.190     1020.400       50.918      413.762
       0.191        0.000       50.918      413.762
       0.192        0.000       50.918      413.762
       0.193        0.000       50.918      413.762
       0.194        0.000       50.918      413.762
       0.195        0.000       50.918      413.762
       0.196        0.000       50.918      413.762
       0.197        0.000       50.918      413.762
       0.198        0.000       50.918      413.762
       0.199        0.000       50.918      413.762
       0.200        0.000       50.918      413.762
       0.201      853.000       50.918      413.762
       0.202        0.000       50.918      413.762
       0.203        0.000       50.918      413.762
       0.204        0.000       50.918      413.762
       0.205        0.000       50.918      413.762
       0.206        0.000       50.918      413.762
       0.207        0.000       50.918      413.762
       0.208        0.000       50.918      413.762
       0.209     1076.500       50.918      413.762
       0.210        0.000       50.918      413.762
       0.211        0.000       50.918      413.762
       0.212        0.000       50.918      413.762
       0.213        0.000       50.918      413.762
       0.214        0.000       50.918      413.762
       0.215        0.000       50.918      413.762
       0.216        0.000       50.918      413.762
       0.217        0.000       50.918      413.762
       0.218        0.000       50.918      413.762
       0.219      904.900       50.918      413.762
       0.220        0.000       50.918      413.762
       0.221        0.000       50.918      413.762
       0.222        0.000       50.918      413.762
       0.223        0.000       50.918      413.762
       0.225        0.000       50.918      413.762
       0.226        0.000       50.918      413.762
       0.227        0.000       50.918      413.762
       0.228        0.000       50.918      413.762
       0.229        0.000       50.918      413.762
       0.230      887.600       50.918      413.762
       0.231        0.000       50.918      413.762
       0.232        0.000       50.918      413.762
       0.233        0.000       50.918      413.762
       0.234        0.000       50.918      413.762
       0.235        0.000       50.918      413.762
       0.236        0.000       50.918      413.762
       0.237        0.000       50.918      413.762
       0.238        0.000       50.918      413.762
       0.239      996.500       50.918      413.762
       0.240        0.000       50.918      413.762
       0.241        0.000       50.918      413.762
       0.242        0.000       50.918      413.762
       0.243        0.000       50.918      413.762
       0.244        0.000       50.918      413.762
       0.245        0.000       50.918      413.762
       0.246        0.000       50.918      413.762
       0.247        0.000       50.918      413.762
       0.248        0.000       50.918      413.762
       0.249      858.500       50.918      413.762
       0.250        0.000       50.918      413.762
       0.251        0.000       50.918      413.762
       0.252        0.000       50.918      413.762
       0.253        0.000       50.918      413.762
       0.254        0.000       50.918      413.762
       0.255        0.000       50.918      413.762
       0.256        0.000       50.918      413.762
       0.257        0.000       50.918      413.762
       0.258        0.000       50.918      413.762
       0.259        0.000       50.918      413.762
       0.260        0.000       50.918      413.762
       0.261      964.700       50.918      413.762
       0.262        0.000       50.918      413.762
       0.264        0.000       50.918      413.762
       0.265        0.000       50.918      413.762
       0.266        0.000       50.918      413.762
       0.267        0.000       50.918      413.762
       0.268        0.000       50.918      413.762
       0.269      885.000       50.918      413.762
       0.270        0.000       50.918      413.762
       0.271        0.000       50.918      413.762
       0.272        0.000       50.918      413.762
       0.273        0.000       50.918      413.762
       0.274        0.000       50.918      413.762
       0.275        0.000       50.918      413.762
       0.276        0.000       50.918      413.762
       0.277        0.000       50.918      413.762
       0.278        0.000       50.918      413.762
       0.279        0.000       50.918      413.762
       0.280        0.000       50.918      413.762
       0.281        0.000       50.918      413.762
       0.282      944.200       50.918      413.762
       0.283        0.000       50.918      413.762
       0.284        0.000       50.918      413.762
       0.285        0.000       50.918      413.762
       0.286        0.000       50.918      413.762
       0.287        0.000       50.918      413.762
       0.288        0.000       50.918      413.762
       0.289     1015.700       50.918      413.762
       0.290        0.000       50.918      413.762
       0.291        0.000       50.918      413.762
       0.292        0.000       50.918      413.762
       0.293        0.000       50.918      413.762
       0.294        0.000       50.918      413.762
       0.295        0.000       50.918      413.762
       0.296        0.000       50.918      413.762
       0.297        0.000       50.918      413.762
       0.298        0.000       50.918      413.762
       0.299        0.000       50.918      413.762
       0.300        0.000       50.918      413.762
       0.301      869.100       50.918      413.762
       0.302        0.000       50.918      413.762
       0.304        0.000       50.918      413.762
       0.305        0.000       50.918      413.762
       0.306        0.000       50.918      413.762
       0.307        0.000       50.918      413.762
       0.308        0.000       50.918      413.762
       0.309        0.000       50.918      413.762
       0.310      988.700       50.918      413.762
       0.311        0.000       50.918      413.762
       0.312        0.000       50.918      413.762
       0.313        0.000       50.918      413.762
       0.314        0.000       50.918      413.762
       0.315        0.000       50.918      413.762
       0.316        0.000       50.918      413.762
       0.317        0.000       50.918      413.762
       0.318        0.000       50.918      413.762
       0.319        0.000       50.918      413.762
       0.320        0.000       50.918      413.762
       0.321        0.000       50.918      413.762
       0.322      996.700       50.918      413.762
       0.323        0.000       50.918      413.762
       0.324        0.000       50.918      413.762
       0.325        0.000       50.918      413.762
       0.326        0.000       50.918      413.762
       0.327        0.000       50.918      413.762
       0.328        0.000       50.918      413.762
       0.329      721.300       50.918      413.762
       0.330        0.000       50.918      413.762
       0.331        0.000       50.918      413.762
       0.332        0.000       50.918      413.762
       0.333        0.000       50.918      413.762
       0.334        0.000       50.918      413.762
       0.335        0.000       50.918      413.762
       0.336        0.000       50.918      413.762
       0.337        0.000       50.918      413.762
       0.338        0.000       50.918      413.762
       0.339        0.000       50.918      413.762
       0.340        0.000       50.918      413.762
       0.341     1057.500       50.918      413.762
       0.342        0.000       50.918      413.762
       0.343        0.000       50.918      413.762
       0.344        0.000       50.918      413.762
       0.345        0.000       50.918      413.762
       0.346        0.000       50.918      413.762
       0.347        0.000       50.918      413.762
       0.348        0.000       50.918      413.762
       0.349      930.600       50.918      413.762
       0.350        0.000       50.918      413.762
       0.351        0.000       50.918      413.762
       0.352        0.000       50.918      413.762
       0.353        0.000       50.918      413.762
       0.355        0.000       50.918      413.762
       0.355        0.000       50.918      413.762
       0.356        0.000       50.918      413.762
       0.357        0.000       50.918      413.762
       0.358     1000.900       50.918      413.762
       0.360        0.000       50.918      413.762
       0.361        0.000       50.918      413.762
       0.362        0.000       50.918      413.762
       0.363        0.000       50.918      413.762
       0.364        0.000       50.918      413.762
       0.365        0.000       50.918      413.762
       0.366        0.000       50.918      413.762
       0.367        0.000       50.918      413.762
       0.368        0.000       50.918      413.762
       0.369      903.800       50.918      413.762
       0.370        0.000       50.918      413.762
       0.371        0.000       50.918      413.762
       0.372        0.000       50.918      413.762
       0.373        0.000       50.918      413.762
       0.374        0.000       50.918      413.762
       0.375        0.000       50.918      413.762
       0.377        0.000       50.918      413.762
       0.378        0.000       50.918      413.762
       0.379        0.000       50.918      413.762
       0.380        0.000       50.918      413.762
       0.381        0.000       50.918      413.762
       0.382     1000.900       50.918      413.762
       0.383        0.000       50.918      413.762
       0.384        0.000       50.918      413.762
       0.385        0.000       50.918      413.762
       0.386        0.000       50.918      413.762
       0.387        0.000       50.918      413.762
       0.388        0.000       50.918      413.762
       0.389      788.600       50.918      413.762
       0.390        0.000       50.918      413.762
       0.391        0.000       50.918      413.762
       0.392        0.000       50.918      413.762
       0.393        0.000       50.918      413.762
       0.394        0.000       50.918      413.762
       0.396        0.000       50.918      413.762
       0.397        0.000       50.918      413.762
       0.398        0.000       50.918      413.762
       0.399        0.000       50.918      413.762
       0.400        0.000       50.918      413.762
       0.401        0.000       50.918      413.762
       0.402      902.800       50.918      413.762
       0.403        0.000       50.918      413.762
       0.404        0.000       50.918      413.762
       0.405        0.000       50.918      413.762
       0.406        0.000       50.918      413.762
       0.407        0.000       50.918      413.762
       0.408        0.000       50.918      413.762
       0.409      936.200       50.918      413.762
       0.410        0.000       50.918      413.762
       0.411        0.000       50.918      413.762
       0.412        0.000       50.918      413.762
       0.413        0.000       50.918      413.762
       0.414        0.000       50.918      413.762
       0.415        0.000       50.918      413.762
       0.416        0.000       50.918      413.762
       0.417        0.000       50.918      413.762
       0.418        0.000       50.918      413.762
       0.419        0.000       50.918      413.762
       0.420        0.000       50.918      413.762
       0.422      913.900       50.918      413.762
       0.423        0.000       50.918      413.762
       0.424        0.000       50.918      413.762
       0.425        0.000       50.918      413.762
       0.426        0.000       50.918      413.762
       0.427        0.000       50.918      413.762
       0.428        0.000       50.918      413.762
       0.429      867.100       50.918      413.762
       0.430        0.000       50.918      413.762
       0.431        0.000       50.918      413.762
       0.432        0.000       50.918      413.762
       0.433        0.000       50.918      413.762
       0.434        0.000       50.918      413.762
       0.435        0.000       50.918      413.762
       0.436        0.000       50.918      413.762
       0.437        0.000       50.918      413.762
       0.438        0.000       50.918      413.762
       0.439      926.000       50.918      413.762
       0.440        0.000       50.918      413.762
       0.442        0.000       50.918      413.762
       0.443        0.000       50.918      413.762
       0.444        0.000       50.918      413.762
       0.445        0.000       50.918      413.762
       0.446        0.000       50.918      413.762
       0.447        0.000       50.918      413.762
       0.448        0.000       50.918      413.762
       0.449        0.000       50.918      413.762
       0.450      930.300       50.918      413.762
       0.451        0.000       50.918      413.762
       0.452        0.000       50.918      413.762
       0.453        0.000       50.918      413.762
       0.454        0.000       50.918      413.762
       0.455        0.000       50.918      413.762
       0.456        0.000       50.918      413.762
       0.457        0.000       50.918      413.762
       0.458        0.000       50.918      413.762
       0.459        0.000       50.918      413.762
       0.460        0.000       50.918      413.762
       0.461      797.600       50.918      413.762
       0.463        0.000       50.918      413.762
       0.464        0.000       50.918      413.762
       0.465        0.000       50.918      413.762
       0.466        0.000       50.918      413.762
       0.467        0.000       50.918      413.762
       0.468        0.000       50.918      413.762
       0.469      926.400       50.918      413.762
       0.470        0.000       50.918      413.762
       0.471        0.000       50.918      413.762
       0.472        0.000       50.918      413.762
       0.473        0.000       50.918      413.762
       0.475        0.000       50.918      413.762
       0.476        0.000       50.918      413.762
       0.477        0.000       50.918      413.762
       0.478        0.000       50.918      413.762
       0.479        0.000       50.918      413.762
       0.480        0.000       50.918      413.762
       0.481      978.300       50.918      413.762
       0.482        0.000       50.918      413.762
       0.483        0.000       50.918      413.762
       0.484        0.000       50.918      413.762
       0.485        0.000       50.918      413.762
       0.486        0.000       50.918      413.762
       0.487        0.000       50.918      413.762
       0.488        0.000       50.918      413.762
       0.489      887.700       50.918      413.762
       0.491        0.000       50.918      413.762
       0.492        0.000       50.918      413.762
       0.493        0.000       50.918      413.762
       0.494        0.000       50.918      413.762
       0.495        0.000       50.918      413.762
       0.496        0.000       50.918      413.762
       0.497        0.000       50.918      413.762
       0.498        0.000       50.918      413.762
       0.499        0.000       50.918      413.762
       0.500      962.800       50.918      413.762
       0.501        0.000       50.918      413.762
       0.502        0.000       50.918      413.762
       0.503        0.000       50.918      413.762
       0.504        0.000       50.918      413.762
       0.506        0.000       50.918      413.762
       0.507        0.000       50.918      413.762
       0.508        0.000       50.918      413.762
       0.509        0.000       50.918      413.762
       0.510        0.000       50.918      413.762
       0.511        0.000       50.918      413.762
       0.512      919.400       50.918      413.762
       0.513        0.000       50.918      413.762
       0.515        0.000       50.918      413.762
       0.516        0.000       50.918      413.762
       0.517        0.000       50.918      413.762
       0.518        0.000       50.918      413.762
       0.519        0.000       50.918      413.762
       0.520        0.000       50.918      413.762
       0.521      892.900       50.918      413.762
       0.522        0.000       50.918      413.762
       0.523        0.000       50.918      413.762
       0.524        0.000       50.918      413.762
       0.526        0.000       50.918      413.762
       0.527        0.000       50.918      413.762
       0.528        0.000       50.918      413.762
       0.529        0.000       50.918      413.762
       0.530        0.000       50.918      413.762
       0.531        0.000       50.918      413.762
       0.532        0.000       50.918      413.762
       0.533        0.000       50.918      413.762
       0.534      958.500       50.918      413.762
       0.535        0.000       50.918      413.762
       0.536        0.000       50.918      413.762
       0.537        0.000       50.918      413.762
       0.538        0.000       50.918      413.762
       0.539        0.000       50.918      413.762
       0.540        0.000       50.918      413.762
       0.541      927.500       50.918      413.762
       0.542        0.000       50.918      413.762
       0.543        0.000       50.918      413.762
       0.544        0.000       50.918      413.762
       0.546        0.000       50.918      413.762
       0.547        0.000       50.918      413.762
       0.548        0.000       50.918      413.762
       0.549        0.000       50.918      413.762
       0.550        0.000       50.918      413.762
       0.551        0.000       50.918      413.762
       0.552        0.000       50.918      413.762
       0.553      828.900       50.918      413.762
       0.555        0.000       50.918      413.762
       0.556        0.000       50.918      413.762
       0.557        0.000       50.918      413.762
       0.558        0.000       50.918      413.762
       0.559        0.000       50.918      413.762
       0.560        0.000       50.918      413.762
       0.561      912.400       50.918      413.762
       0.562        0.000       50.918      413.762
       0.563        0.000       50.918      413.762
       0.564        0.000       50.918      413.762
       0.565        0.000       50.918      413.762
       0.566        0.000       50.918      413.762
       0.567        0.000       50.918      413.762
       0.568        0.000       50.918      413.762
       0.570      888.800       50.918      413.762
       0.571        0.000       50.918      413.762
       0.572        0.000       50.918      413.762
       0.573        0.000       50.918      413.762
       0.574        0.000       50.918      413.762
       0.575        0.000       50.918      413.762
       0.576        0.000       50.918      413.762
       0.577        0.000       50.918      413.762
       0.578        0.000       50.918      413.762
       0.579        0.000       50.918      413.762
       0.580        0.000       50.918      413.762
       0.581      866.400       50.918      413.762
       0.582        0.000       50.918      413.762
       0.583        0.000       50.918      413.762
       0.584        0.000       50.918      413.762
       0.586        0.000       50.918      413.762
