# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.066      390.613
       0.001      842.600       29.324      390.742
       0.003        0.000       29.324      390.883
       0.004        0.000       29.582      391.012
       0.005        0.000       29.840      391.281
       0.006        0.000       30.098      391.539
       0.007        0.000       30.355      391.797
       0.008        0.000       30.355      391.945
       0.010        0.000       30.613      392.074
       0.011        0.000       30.613      392.203
       0.012        0.000       30.871      392.344
       0.013     1016.700       31.129      392.602
       0.014        0.000       31.387      392.875
       0.015        0.000       31.645      393.133
       0.015        0.000       31.645      393.266
       0.017        0.000       31.902      393.395
       0.017        0.000       31.902      393.523
       0.019        0.000       31.902      393.652
       0.020        0.000       32.160      393.781
       0.021     1012.100       32.418      394.039
       0.022        0.000       32.676      394.297
       0.023        0.000       32.934      394.570
       0.024        0.000       32.934      394.703
       0.025        0.000       33.191      394.836
       0.026        0.000       33.191      394.836
       0.027        0.000       33.191      394.969
       0.027        0.000       33.449      395.098
       0.028        0.000       33.707      395.355
       0.030        0.000       33.965      395.617
       0.031        0.000       34.223      395.891
       0.032        0.000       34.223      395.891
       0.033        0.000       34.223      396.020
       0.034        0.000       34.480      396.152
       0.035     1091.100       34.480      396.152
       0.036        0.000       34.480      396.285
       0.037        0.000       34.738      396.418
       0.038        0.000       34.738      396.562
       0.039      928.600       34.996      396.820
       0.040        0.000       35.254      397.078
       0.041        0.000       35.512      397.207
       0.042        0.000       35.512      397.336
       0.043        0.000       35.512      397.336
       0.044        0.000       35.770      397.484
       0.045        0.000       35.770      397.484
       0.046        0.000       35.770      397.617
       0.047        0.000       35.770      397.746
       0.048        0.000       35.770      397.746
       0.049      496.800       36.285      398.148
       0.051        0.000       36.543      398.277
       0.052        0.000       36.543      398.547
       0.053        0.000       36.801      398.547
       0.054        0.000       36.801      398.676
       0.055        0.000       36.801      398.805
       0.056        0.000       36.801      398.805
       0.057        0.000       37.059      398.934
       0.058        0.000       37.059      398.934
       0.059        0.000       37.059      398.934
       0.060        0.000       37.059      399.062
       0.061        0.000       37.316      399.191
       0.062        0.000       37.574      399.469
       0.063     1102.400       37.574      399.598
       0.064        0.000       37.832      399.727
       0.065        0.000       38.090      399.984
       0.066        0.000       38.090      400.113
