# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.617      403.664
       0.001     1238.500       30.875      403.922
       0.002        0.000       30.875      403.922
       0.003        0.000       30.875      406.219
       0.003        0.000       31.133      406.219
       0.004        0.000       31.391      406.363
       0.005        0.000       31.648      406.621
       0.005        0.000       31.906      406.879
       0.006        0.000       31.906      407.008
       0.007        0.000       31.906      407.141
       0.008        0.000       32.164      407.141
       0.008        0.000       32.164      408.559
       0.009     1395.800       32.422      409.500
       0.010        0.000       32.422      409.500
       0.011        0.000       32.680      409.758
       0.011        0.000       32.938      410.016
       0.012        0.000       33.195      410.145
       0.013        0.000       33.195      410.273
       0.013        0.000       33.195      410.402
       0.014        0.000       33.453      410.402
       0.015        0.000       33.453      410.875
       0.016        0.000       33.453      412.895
       0.016        0.000       33.711      412.895
       0.017        0.000       33.969      413.023
       0.018        0.000       34.227      413.297
       0.019        0.000       34.484      413.426
       0.019     1418.200       34.484      413.426
       0.020        0.000       34.484      413.555
       0.021        0.000       34.484      413.684
       0.021        0.000       34.742      413.684
       0.022        0.000       34.742      415.098
       0.023        0.000       35.000      416.039
       0.024        0.000       35.000      416.039
       0.024        0.000       35.258      416.172
       0.025        0.000       35.516      416.430
       0.026        0.000       35.773      416.688
       0.027        0.000       35.773      416.688
       0.027        0.000       35.773      416.820
       0.028        0.000       36.031      416.953
       0.029        0.000       36.031      416.953
       0.029        0.000       36.031      417.086
       0.030        0.000       36.031      418.410
       0.031        0.000       36.289      419.352
       0.032     1419.200       36.547      419.352
       0.032        0.000       36.547      419.613
       0.033        0.000       36.805      419.742
       0.034        0.000       37.062      420.000
       0.035        0.000       37.062      420.000
       0.035        0.000       37.062      420.129
       0.036        0.000       37.062      420.129
       0.037        0.000       37.320      420.277
       0.037        0.000       37.320      420.277
       0.038        0.000       37.320      420.410
       0.039        0.000       37.320      421.750
       0.040        0.000       37.578      422.691
       0.040        0.000       37.836      422.691
       0.041        0.000       37.836      422.820
       0.042        0.000       38.094      422.949
       0.042        0.000       38.094      423.078
       0.043        0.000       38.352      423.336
       0.044        0.000       38.352      423.336
       0.045        0.000       38.352      423.469
       0.045     1415.400       38.352      423.469
       0.046        0.000       38.609      423.469
       0.047        0.000       38.609      423.609
       0.047        0.000       38.609      423.609
       0.048        0.000       38.609      423.742
       0.049        0.000       38.609      423.742
       0.050        0.000       38.867      425.121
       0.050        0.000       38.867      426.191
       0.051        0.000       38.867      427.133
       0.052        0.000       38.867      427.133
       0.053        0.000       38.867      427.133
       0.053        0.000       39.125      427.133
       0.054        0.000       39.383      427.262
       0.055        0.000       39.641      427.391
       0.055        0.000       39.641      427.520
       0.056        0.000       39.898      427.652
       0.057        0.000       39.898      427.781
       0.058     1228.900       39.898      427.781
       0.058        0.000       39.898      427.914
       0.059        0.000       39.898      427.914
       0.060        0.000       39.898      427.914
       0.061        0.000       40.156      428.047
