# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       32.496      403.828
       0.002     1302.400       32.754      404.090
       0.003        0.000       33.012      406.258
       0.005        0.000       33.527      406.660
       0.007        0.000       33.785      406.945
       0.009        0.000       33.785      407.203
       0.012        0.000       34.043      408.594
       0.014        0.000       34.301      409.535
       0.015        0.000       34.816      409.922
       0.017        0.000       35.074      410.180
       0.019        0.000       35.074      410.309
       0.020      636.900       35.074      410.438
       0.022        0.000       35.332      412.930
       0.023        0.000       35.590      412.930
       0.025        0.000       36.105      413.207
       0.027        0.000       36.363      413.465
       0.028      684.600       36.363      413.594
       0.030        0.000       36.363      413.727
       0.031        0.000       36.621      415.133
       0.033        0.000       36.879      416.074
       0.034        0.000       37.395      416.469
       0.036      484.400       37.652      416.746
       0.038        0.000       37.652      416.875
       0.040        0.000       37.652      417.004
       0.041        0.000       37.910      417.004
       0.043        0.000       37.910      419.387
       0.045        0.000       38.168      419.387
       0.047      536.900       38.684      419.652
       0.049        0.000       38.941      420.059
       0.050        0.000       38.941      420.059
       0.052        0.000       38.941      420.188
       0.054        0.000       39.199      420.316
       0.055      635.500       39.199      421.785
       0.057        0.000       39.457      422.727
       0.059      610.000       39.715      422.855
       0.060        0.000       40.230      423.371
       0.062        0.000       40.230      423.504
       0.064        0.000       40.488      423.504
       0.065        0.000       40.488      423.645
       0.067        0.000       40.488      423.773
       0.068        0.000       40.746      426.227
       0.070        0.000       40.746      427.168
       0.071        0.000       41.004      427.168
       0.073      590.100       41.520      427.426
       0.075        0.000       41.777      427.816
       0.077        0.000       41.777      427.949
       0.078        0.000       42.035      428.086
       0.080        0.000       42.035      428.086
       0.081        0.000       42.035      428.219
       0.083        0.000       42.293      429.590
       0.084      516.900       42.293      431.605
       0.086        0.000       42.809      431.738
       0.088        0.000       42.809      431.883
       0.089      637.300       43.066      432.148
       0.091        0.000       43.324      432.277
       0.092        0.000       43.324      432.406
       0.095        0.000       43.324      432.535
       0.096        0.000       43.582      432.668
       0.098        0.000       43.582      433.996
       0.099        0.000       43.840      436.031
       0.101        0.000       44.098      436.031
       0.103      551.100       44.355      436.305
       0.105        0.000       44.613      436.562
       0.106        0.000       44.613      436.691
       0.108      633.500       44.871      436.691
       0.109        0.000       44.871      436.953
       0.111        0.000       44.871      437.082
       0.112        0.000       45.129      437.082
       0.114        0.000       45.129      439.375
       0.115        0.000       45.387      440.484
       0.117        0.000       45.902      440.742
       0.119        0.000       46.160      441.020
       0.121        0.000       46.160      441.020
       0.122        0.000       46.160      441.148
       0.124      595.600       46.418      441.406
       0.125        0.000       46.418      441.406
