# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       30.805      403.906
       0.002        0.000       30.805      403.906
       0.003      526.200       31.062      406.203
       0.005      679.400       31.320      406.477
       0.006        0.000       31.836      406.863
       0.008        0.000       31.836      406.992
       0.009        0.000       31.836      407.125
       0.010        0.000       32.094      407.254
       0.011        0.000       32.352      409.484
       0.013        0.000       32.609      409.742
       0.014        0.000       33.125      410.129
       0.016        0.000       33.125      410.258
       0.017        0.000       33.125      410.387
       0.018      768.100       33.125      410.387
       0.019        0.000       33.383      411.801
       0.021        0.000       33.641      412.879
       0.022        0.000       33.898      413.008
       0.023      691.400       34.156      413.281
       0.025        0.000       34.414      413.410
       0.026        0.000       34.414      413.539
       0.027        0.000       34.414      413.668
       0.028        0.000       34.672      413.668
       0.029        0.000       34.672      413.797
       0.031        0.000       34.930      416.023
       0.032      556.700       35.188      416.156
       0.034        0.000       35.188      416.156
       0.035        0.000       35.445      416.285
       0.036        0.000       35.703      416.672
       0.037        0.000       35.703      416.672
       0.039        0.000       35.703      416.805
       0.040        0.000       35.703      416.938
       0.041        0.000       35.961      416.938
       0.042        0.000       35.961      417.070
       0.044        0.000       35.961      417.070
       0.045      661.300       36.219      419.336
       0.047        0.000       36.477      419.469
       0.048        0.000       36.734      419.727
       0.050        0.000       36.992      419.984
       0.051        0.000       36.992      419.984
       0.052        0.000       36.992      420.113
       0.053        0.000       36.992      420.113
       0.054        0.000       37.250      420.262
       0.056        0.000       37.250      420.262
       0.057        0.000       37.250      420.395
       0.058        0.000       37.250      421.734
       0.059      695.300       37.766      422.676
       0.061        0.000       38.023      422.934
       0.062        0.000       38.023      423.191
       0.063        0.000       38.281      423.320
       0.064        0.000       38.281      423.320
       0.066        0.000       38.281      423.453
       0.067        0.000       38.539      423.594
       0.068      656.500       38.539      423.594
       0.070        0.000       38.539      423.727
       0.071        0.000       38.539      423.727
       0.072        0.000       38.539      423.855
       0.073        0.000       38.797      426.176
       0.075        0.000       39.055      427.117
       0.076        0.000       39.055      427.117
