# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       31.004      404.320
       0.002      670.700       31.262      406.203
       0.003        0.000       31.520      406.477
       0.004        0.000       32.035      406.863
       0.006        0.000       32.035      406.992
       0.007        0.000       32.293      407.125
       0.008        0.000       32.293      409.484
       0.010      688.300       32.809      409.613
       0.011        0.000       33.066      410.000
       0.012        0.000       33.324      410.129
       0.014        0.000       33.324      410.387
       0.015        0.000       33.324      410.387
       0.016        0.000       33.582      411.801
       0.017        0.000       33.840      412.879
       0.019        0.000       34.098      413.008
       0.020      751.900       34.355      413.410
       0.022        0.000       34.613      413.410
       0.023        0.000       34.613      413.668
       0.024        0.000       34.871      413.668
       0.025        0.000       34.871      416.023
       0.026        0.000       35.387      416.023
       0.028        0.000       35.645      416.414
       0.029      710.900       35.902      416.672
       0.030        0.000       35.902      416.805
       0.032        0.000       36.160      416.938
       0.033        0.000       36.160      416.938
       0.034        0.000       36.160      417.070
       0.035        0.000       36.160      417.453
       0.037        0.000       36.418      419.336
       0.038      771.500       36.676      419.336
       0.039        0.000       36.934      419.727
       0.041        0.000       37.191      419.984
       0.042        0.000       37.191      419.984
       0.043        0.000       37.191      420.113
       0.044        0.000       37.449      420.262
       0.046        0.000       37.449      420.262
       0.047        0.000       37.449      420.395
       0.048        0.000       37.449      421.734
       0.049      752.900       37.707      422.676
       0.051        0.000       37.965      422.676
       0.052        0.000       38.223      423.062
       0.053        0.000       38.480      423.320
       0.054        0.000       38.480      423.453
       0.056      893.000       38.480      423.453
       0.057        0.000       38.738      423.453
       0.058        0.000       38.738      423.594
       0.059        0.000       38.738      423.727
       0.060        0.000       38.738      423.859
       0.061        0.000       38.996      425.105
       0.063        0.000       38.996      427.117
       0.064        0.000       39.254      427.117
       0.065      764.000       39.512      427.246
       0.067        0.000       39.770      427.504
       0.068        0.000       40.027      427.637
       0.069        0.000       40.027      427.766
       0.070        0.000       40.027      427.898
       0.071        0.000       40.027      427.898
       0.073      783.600       40.285      428.031
       0.074        0.000       40.285      428.160
       0.075        0.000       40.285      428.160
       0.076        0.000       40.543      429.535
       0.077        0.000       40.543      430.477
       0.079      665.500       40.543      431.555
       0.080        0.000       41.059      431.555
       0.082        0.000       41.316      431.828
       0.083        0.000       41.316      431.957
       0.084        0.000       41.574      432.098
       0.085        0.000       41.574      432.230
       0.086        0.000       41.574      432.230
       0.087        0.000       41.574      432.359
       0.089      499.200       41.832      432.621
       0.091        0.000       42.090      435.977
       0.093        0.000       42.348      435.977
       0.094        0.000       42.863      436.512
       0.096        0.000       42.863      436.641
       0.098      728.000       43.121      436.770
       0.099        0.000       43.121      436.898
       0.101        0.000       43.121      437.027
       0.103        0.000       43.379      438.383
       0.104        0.000       43.637      440.434
