# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       15.531      717.434
       0.001        0.000       15.531      719.602
       0.002        0.000       15.531      719.602
       0.003        0.000       15.789      719.734
       0.004        0.000       15.789      723.422
       0.005        0.000       15.789      723.422
       0.006     1068.300       15.789      723.570
       0.007        0.000       16.047      724.809
       0.008        0.000       16.047      727.242
       0.009        0.000       16.047      727.242
       0.010        0.000       16.047      727.391
       0.011        0.000       16.305      731.066
       0.011        0.000       16.305      731.066
       0.012        0.000       16.305      731.066
       0.013        0.000       16.305      732.473
       0.014        0.000       16.562      737.273
       0.015     1136.200       16.562      739.703
       0.016        0.000       16.562      739.703
       0.017        0.000       16.562      739.840
       0.018        0.000       16.820      743.551
       0.019        0.000       16.820      744.750
       0.020        0.000       16.820      744.750
       0.021        0.000       16.820      744.883
       0.021        0.000       17.078      746.137
       0.023        0.000       17.078      746.137
       0.024        0.000       17.078      746.266
       0.024        0.000       17.078      763.539
       0.025      693.500       17.340      763.539
       0.027        0.000       17.340      763.539
       0.028        0.000       17.340      763.539
       0.029        0.000       17.340      763.539
       0.030        0.000       17.340      763.539
       0.031        0.000       17.340      763.539
       0.031        0.000       17.340      763.539
       0.032        0.000       17.340      763.539
       0.033      376.900       17.340      827.539
       0.036        0.000       17.340      827.539
       0.037        0.000       17.340      827.539
       0.038        0.000       17.340      827.539
       0.039        0.000       17.340      827.539
       0.040        0.000       17.340      827.539
       0.041        0.000       17.340      827.539
       0.042        0.000       17.340      827.539
       0.043        0.000       17.340      827.539
       0.044        0.000       17.340      827.539
       0.045        0.000       17.340      827.539
       0.045     1122.000       17.340      827.539
       0.046        0.000       17.340      827.539
       0.047        0.000       17.340      827.539
       0.048        0.000       17.340      827.539
       0.049        0.000       17.340      827.539
       0.050        0.000       17.340      827.539
       0.051        0.000       17.340      827.539
       0.052        0.000       17.340      827.539
       0.053      893.300       17.340      827.539
       0.054        0.000       17.340      827.539
       0.055        0.000       17.340      827.539
       0.056        0.000       17.340      827.539
       0.057        0.000       17.340      827.539
       0.058        0.000       17.340      827.539
       0.059        0.000       17.340      827.539
       0.060        0.000       17.340      827.539
       0.061        0.000       17.340      827.539
       0.062        0.000       17.340      827.539
       0.063        0.000       17.340      827.539
       0.064        0.000       17.340      827.539
       0.065     1011.800       17.340      827.539
       0.066        0.000       17.340      827.539
       0.067        0.000       17.340      827.539
       0.068        0.000       17.340      827.539
       0.069        0.000       17.340      827.539
       0.071        0.000       17.340      827.539
       0.071        0.000       17.340      827.539
       0.072        0.000       17.340      827.539
       0.074      981.000       17.340      827.539
       0.075        0.000       17.340      827.539
       0.076        0.000       17.340      827.539
       0.076        0.000       17.340      827.539
       0.077        0.000       17.340      827.539
       0.078        0.000       17.340      827.539
       0.079        0.000       17.340      827.539
       0.080        0.000       17.340      827.539
       0.081        0.000       17.340      827.539
       0.082        0.000       17.340      827.539
       0.083        0.000       17.340      827.539
       0.084        0.000       17.340      827.539
       0.085        0.000       17.340      827.539
       0.086      904.900       17.340      827.539
       0.087        0.000       17.340      827.539
       0.088        0.000       17.340      827.539
       0.089        0.000       17.340      827.539
       0.090        0.000       17.340      827.539
       0.091        0.000       17.340      827.539
       0.092        0.000       17.340      827.539
       0.093        0.000       17.340      827.539
       0.094        0.000       17.340      827.539
       0.095        0.000       17.340      827.539
       0.096        0.000       17.340      827.539
       0.096        0.000       17.340      827.539
       0.097     1033.000       17.340      827.539
       0.098        0.000       17.340      827.539
       0.099        0.000       17.340      827.539
       0.100        0.000       17.340      827.539
       0.101        0.000       17.340      827.539
       0.103        0.000       17.340      827.539
       0.104        0.000       17.340      827.539
       0.104        0.000       17.340      827.539
       0.105      976.600       17.340      827.539
