# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       16.371      731.066
       0.001        0.000       16.371      731.215
       0.002        0.000       16.629      736.062
       0.002        0.000       16.629      739.691
       0.003        0.000       16.629      739.691
       0.004        0.000       16.629      739.691
       0.004        0.000       16.887      741.105
       0.005        0.000       16.887      744.738
       0.006        0.000       16.887      744.738
       0.006        0.000       16.887      744.738
       0.007     1492.100       16.887      744.883
       0.008        0.000       17.145      746.117
       0.008        0.000       17.145      746.117
       0.009        0.000       17.145      746.117
       0.009        0.000       17.145      747.527
       0.010        0.000       17.145      747.527
       0.011        0.000       17.145      747.527
       0.011        0.000       17.402      747.527
       0.012        0.000       17.402      747.527
       0.013        0.000       17.402      747.527
       0.013        0.000       17.402      747.527
       0.014        0.000       17.402      747.527
       0.015        0.000       17.402      747.527
       0.015        0.000       17.402      747.527
       0.016        0.000       17.402      747.527
       0.017        0.000       17.402      747.527
       0.017        0.000       17.402      747.527
       0.018        0.000       17.402      747.527
       0.018     1582.000       17.402      747.527
       0.019        0.000       17.402      747.527
       0.020        0.000       17.402      747.527
       0.020        0.000       17.402      747.527
       0.021        0.000       17.402      747.527
       0.022        0.000       17.402      747.527
       0.022        0.000       17.402      747.527
       0.023        0.000       17.402      747.527
       0.024        0.000       17.402      747.527
       0.024        0.000       17.402      747.527
       0.025        0.000       17.402      747.527
       0.026        0.000       17.402      747.527
       0.026        0.000       17.402      747.527
       0.027        0.000       17.402      747.527
       0.027        0.000       17.402      747.527
       0.028        0.000       17.402      747.527
       0.029        0.000       17.402      747.527
       0.029        0.000       17.402      747.527
       0.030        0.000       17.402      747.527
       0.031        0.000       17.402      747.527
       0.031     1242.100       17.402      747.527
       0.032        0.000       17.402      747.527
       0.033        0.000       17.402      747.527
       0.033        0.000       17.402      747.527
       0.034        0.000       17.402      747.527
       0.034        0.000       17.402      747.527
       0.035        0.000       17.402      747.527
       0.036        0.000       17.402      747.527
       0.036        0.000       17.402      747.527
       0.037        0.000       17.402      747.527
       0.038        0.000       17.402      747.527
       0.038        0.000       17.402      747.527
       0.039        0.000       17.402      747.527
       0.039        0.000       17.402      747.527
       0.040        0.000       17.402      747.527
       0.041        0.000       17.402      747.527
       0.041        0.000       17.402      747.527
       0.042        0.000       17.402      747.527
       0.043        0.000       17.402      747.527
       0.043        0.000       17.402      747.527
       0.044        0.000       17.402      747.527
       0.044        0.000       17.402      747.527
       0.045        0.000       17.402      747.527
       0.046        0.000       17.402      747.527
       0.046        0.000       17.402      747.527
       0.047        0.000       17.402      747.527
       0.048     1587.100       17.402      747.527
       0.048        0.000       17.402      747.527
       0.049        0.000       17.402      747.527
       0.050        0.000       17.402      747.527
       0.050        0.000       17.402      747.527
       0.051        0.000       17.402      747.527
       0.052        0.000       17.402      747.527
       0.052        0.000       17.402      747.527
       0.053        0.000       17.402      747.527
       0.053        0.000       17.402      747.527
       0.054        0.000       17.402      747.527
       0.055        0.000       17.402      747.527
       0.055        0.000       17.402      747.527
       0.056        0.000       17.402      747.527
       0.057        0.000       17.402      747.527
       0.057        0.000       17.402      747.527
       0.058        0.000       17.402      747.527
       0.058        0.000       17.402      747.527
       0.059        0.000       17.402      747.527
       0.060        0.000       17.402      747.527
       0.060        0.000       17.402      747.527
       0.061        0.000       17.402      747.527
       0.062        0.000       17.402      747.527
       0.062        0.000       17.402      747.527
       0.063        0.000       17.402      747.527
       0.064        0.000       17.402      747.527
       0.064        0.000       17.402      747.527
       0.065        0.000       17.402      747.527
       0.066        0.000       17.402      747.527
       0.066        0.000       17.402      747.527
       0.067        0.000       17.402      747.527
       0.068        0.000       17.402      747.527
       0.068        0.000       17.402      747.527
       0.069        0.000       17.402      747.527
       0.069        0.000       17.402      747.527
       0.070        0.000       17.402      747.527
       0.071     1246.400       17.402      747.527
       0.071        0.000       17.402      747.527
       0.072        0.000       17.402      747.527
       0.073        0.000       17.402      747.527
       0.073        0.000       17.402      747.527
       0.074        0.000       17.402      747.527
       0.075        0.000       17.402      747.527
       0.075        0.000       17.402      747.527
       0.076        0.000       17.402      747.527
       0.076        0.000       17.402      747.527
       0.077        0.000       17.402      747.527
       0.078        0.000       17.402      747.527
       0.078        0.000       17.402      747.527
       0.079        0.000       17.402      747.527
       0.080        0.000       17.402      747.527
       0.080        0.000       17.402      747.527
       0.081        0.000       17.402      747.527
       0.082        0.000       17.402      747.527
       0.082        0.000       17.402      747.527
       0.083     1583.300       17.402      747.527
       0.083        0.000       17.402      747.527
       0.084        0.000       17.402      747.527
       0.085        0.000       17.402      747.527
       0.085        0.000       17.402      747.527
       0.086        0.000       17.402      747.527
       0.086        0.000       17.402      747.527
       0.087        0.000       17.402      747.527
       0.088        0.000       17.402      747.527
       0.088        0.000       17.402      747.527
       0.089        0.000       17.402      747.527
       0.090        0.000       17.402      747.527
       0.090        0.000       17.402      747.527
       0.091     1570.600       17.402      747.527
       0.092        0.000       17.402      747.527
       0.092        0.000       17.402      747.527
       0.093        0.000       17.402      747.527
       0.093        0.000       17.402      747.527
       0.094        0.000       17.402      747.527
       0.095        0.000       17.402      747.527
       0.095        0.000       17.402      747.527
       0.096        0.000       17.402      747.527
       0.097        0.000       17.402      747.527
