# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       15.871      723.434
       0.001        0.000       16.129      723.578
       0.002        0.000       16.129      727.254
       0.002        0.000       16.129      727.254
       0.003        0.000       16.129      727.254
       0.004        0.000       16.387      728.660
       0.005     1437.600       16.387      731.090
       0.005        0.000       16.387      731.090
       0.006        0.000       16.387      731.090
       0.007        0.000       16.387      732.480
       0.007        0.000       16.645      737.281
       0.008        0.000       16.645      739.715
       0.009        0.000       16.645      739.715
       0.009        0.000       16.645      739.715
       0.010        0.000       16.902      741.117
       0.011        0.000       16.902      744.758
       0.011        0.000       16.902      744.758
       0.012     1479.500       16.902      744.758
       0.013        0.000       16.902      744.902
       0.013        0.000       17.160      746.148
       0.014        0.000       17.160      746.148
       0.015        0.000       17.160      746.148
       0.015        0.000       17.160      747.547
       0.016        0.000       17.477      763.551
       0.017        0.000       17.477      763.551
       0.017        0.000       17.477      763.551
       0.018        0.000       17.477      763.551
       0.019        0.000       17.477      763.551
       0.020        0.000       17.477      763.551
       0.020        0.000       17.477      763.551
       0.021        0.000       17.477      763.551
       0.022        0.000       17.477      763.551
       0.022        0.000       17.477      763.551
       0.023        0.000       17.477      763.551
       0.024        0.000       17.477      763.551
       0.024        0.000       17.477      763.551
       0.025        0.000       17.477      763.551
       0.026     1449.500       17.477      763.551
       0.026        0.000       17.477      763.551
       0.027        0.000       17.477      763.551
       0.028        0.000       17.477      763.551
       0.029        0.000       17.477      763.551
       0.029      113.000       17.477      827.551
       0.038        0.000       17.477      827.551
       0.039        0.000       17.477      827.551
       0.040        0.000       17.477      827.551
       0.040        0.000       17.477      827.551
       0.041        0.000       17.477      827.551
       0.042        0.000       17.477      827.551
       0.042        0.000       17.477      827.551
       0.043        0.000       17.477      827.551
       0.044        0.000       17.477      827.551
       0.044        0.000       17.477      827.551
       0.045        0.000       17.477      827.551
       0.046     1429.200       17.477      827.551
       0.046        0.000       17.477      827.551
       0.047        0.000       17.477      827.551
       0.048        0.000       17.477      827.551
