# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       17.152      746.207
       0.001        0.000       17.152      746.207
       0.002        0.000       17.152      746.340
       0.003        0.000       17.469      811.625
       0.004        0.000       19.469      891.629
       0.005        0.000       19.469      891.629
       0.005        0.000       19.469      891.629
       0.006        0.000       19.469      891.629
       0.007        0.000       19.469      891.629
       0.007      158.700       19.469     1147.629
       0.014        0.000       19.469     1147.629
       0.014        0.000       19.469     1147.629
       0.015        0.000       19.469     1147.629
       0.016        0.000       19.469     1147.629
       0.017        0.000       19.469     1147.629
       0.017        0.000       19.469     1147.629
       0.018        0.000       19.469     1147.629
       0.019        0.000       19.469     1147.629
       0.019        0.000       19.469     1147.629
       0.024        0.000       19.469     1147.629
       0.025        0.000       19.469     1147.629
       0.026        0.000       19.469     1147.629
       0.026        0.000       19.469     1147.629
       0.027        0.000       19.469     1147.629
       0.028     1301.700       19.469     1147.629
       0.029        0.000       19.469     1147.629
       0.029        0.000       19.469     1147.629
       0.030        0.000       19.469     1147.629
       0.031        0.000       19.469     1147.629
       0.032        0.000       19.469     1147.629
       0.032        0.000       19.469     1147.629
       0.033        0.000       19.469     1147.629
       0.034        0.000       19.469     1147.629
       0.034        0.000       19.469     1147.629
       0.035        0.000       19.469     1147.629
       0.036      892.300       19.469     1147.629
       0.037        0.000       19.469     1147.629
       0.037        0.000       19.469     1147.629
       0.038        0.000       19.469     1147.629
       0.039        0.000       19.469     1147.629
       0.040        0.000       19.469     1147.629
       0.040        0.000       19.469     1147.629
       0.041        0.000       19.469     1147.629
       0.042        0.000       19.469     1147.629
       0.042        0.000       19.469     1147.629
       0.043        0.000       19.469     1147.629
       0.044        0.000       19.469     1147.629
       0.044        0.000       19.469     1147.629
       0.045        0.000       19.469     1147.629
       0.046        0.000       19.469     1147.629
       0.046     1477.100       19.469     1147.629
       0.047        0.000       19.469     1147.629
       0.048        0.000       19.469     1147.629
       0.048        0.000       19.469     1147.629
       0.049        0.000       19.469     1147.629
       0.050        0.000       19.469     1147.629
       0.051        0.000       19.469     1147.629
       0.051        0.000       19.469     1147.629
       0.052        0.000       19.469     1147.629
       0.053        0.000       19.469     1147.629
       0.053        0.000       19.469     1147.629
       0.054        0.000       19.469     1147.629
       0.055        0.000       19.469     1147.629
       0.055        0.000       19.469     1147.629
       0.056        0.000       19.469     1147.629
