# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       33.324      332.191
       0.001        0.000       33.582      332.320
       0.002        0.000       33.582      332.578
       0.002        0.000       33.840      332.707
       0.003        0.000       34.098      333.094
       0.004        0.000       34.348      333.219
       0.005        0.000       34.348      333.348
       0.005        0.000       34.602      333.484
       0.006        0.000       34.602      333.613
       0.006        0.000       34.859      333.871
       0.007        0.000       35.117      334.000
       0.007      726.600       35.375      334.391
       0.009        0.000       35.633      334.520
       0.009        0.000       35.633      334.652
       0.010        0.000       35.891      334.781
       0.011        0.000       35.891      335.039
       0.011        0.000       36.148      335.168
       0.012        0.000       36.148      335.297
       0.012        0.000       36.664      335.816
       0.014        0.000       36.664      335.816
       0.014        0.000       36.922      335.945
       0.015        0.000       36.922      336.203
       0.015        0.000       37.180      336.332
       0.016        0.000       37.438      336.461
       0.017        0.000       37.438      336.590
       0.017      622.900       37.953      337.238
       0.019        0.000       37.953      337.238
       0.020        0.000       38.211      337.496
       0.020        0.000       38.211      337.625
       0.021        0.000       38.469      337.625
       0.021        0.000       38.469      337.883
       0.022        0.000       38.727      338.012
       0.022        0.000       38.984      338.145
       0.023      542.900       39.242      338.668
       0.025        0.000       39.500      338.797
       0.026        0.000       39.500      338.926
       0.026        0.000       39.758      339.059
       0.027        0.000       39.758      339.188
       0.027     1807.700       40.016      339.316
       0.028        0.000       40.016      339.445
       0.029        0.000       40.789      404.219
       0.031        0.000       40.789      404.219
       0.031        0.000       41.047      404.355
       0.032        0.000       41.047      404.613
       0.033        0.000       41.305      404.742
       0.033        0.000       41.305      404.871
       0.034        0.000       41.562      405.000
       0.034        0.000       41.562      405.133
       0.035        0.000       42.078      405.781
       0.037        0.000       42.336      405.781
       0.038      798.600       42.594      406.172
       0.039        0.000       42.594      406.301
       0.040        0.000       42.852      406.430
       0.040        0.000       42.852      406.559
       0.041      462.800       43.625      407.211
       0.043        0.000       43.625      407.340
       0.044        0.000       43.883      407.602
       0.045        0.000       44.141      407.730
       0.046        0.000       44.141      407.859
       0.047        0.000       44.398      407.988
