# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       43.637      326.906
       0.001        0.000       43.637      327.035
       0.003        0.000       43.895      327.035
       0.004        0.000       43.895      327.168
       0.005     1696.600       43.895      327.297
       0.005        0.000       43.895      327.297
       0.006        0.000       44.152      327.426
       0.007        0.000       44.152      327.426
       0.007        0.000       44.152      327.555
       0.008        0.000       44.152      327.555
       0.009        0.000       44.410      327.555
       0.010        0.000       44.410      327.684
       0.010        0.000       44.410      327.812
       0.011        0.000       44.410      327.812
       0.011        0.000       44.668      327.945
       0.012        0.000       44.668      327.945
       0.013        0.000       44.668      327.945
       0.014        0.000       44.668      328.074
       0.014        0.000       44.668      328.074
       0.015        0.000       44.668      328.074
       0.016        0.000       44.668      328.203
       0.017        0.000       44.668      328.203
       0.017        0.000       44.926      328.203
       0.018        0.000       44.926      328.203
       0.019        0.000       44.926      328.332
       0.019        0.000       44.926      328.332
       0.020        0.000       45.184      328.461
       0.021        0.000       45.184      328.461
       0.022        0.000       45.184      328.590
       0.022        0.000       45.184      328.590
       0.023        0.000       45.441      328.719
       0.024        0.000       45.441      328.848
       0.025        0.000       45.441      328.848
       0.025        0.000       45.441      328.977
       0.026        0.000       45.699      329.105
       0.027        0.000       45.699      329.105
       0.027     1622.600       45.699      329.105
       0.028        0.000       45.699      329.234
       0.029        0.000       45.699      329.234
       0.029        0.000       45.957      329.363
       0.030        0.000       45.957      329.492
       0.031        0.000       45.957      329.492
       0.031        0.000       45.957      329.492
       0.032        0.000       45.957      329.492
       0.033        0.000       46.215      329.625
       0.034        0.000       46.215      329.754
       0.034        0.000       46.215      329.754
       0.035        0.000       46.215      329.754
       0.035        0.000       46.215      329.754
       0.036        0.000       46.215      329.754
       0.037        0.000       46.215      329.754
       0.037        0.000       46.215      329.883
       0.038        0.000       46.473      329.883
       0.039        0.000       46.473      330.012
       0.040        0.000       46.473      330.012
       0.040        0.000       46.473      330.141
       0.041        0.000       46.730      330.270
       0.041        0.000       46.730      330.270
       0.042        0.000       46.730      330.270
       0.043        0.000       46.730      330.398
       0.044        0.000       46.988      330.398
       0.045     1684.300       46.988      330.531
       0.045        0.000       46.988      330.664
       0.046        0.000       47.246      330.664
       0.047        0.000       47.246      330.793
       0.047        0.000       47.246      330.922
       0.048        0.000       47.246      330.922
       0.049        0.000       47.246      331.051
       0.050        0.000       47.504      331.051
       0.050        0.000       47.504      331.230
       0.051        0.000       47.504      331.230
       0.052        0.000       47.504      331.230
       0.052        0.000       47.504      331.359
       0.053        0.000       47.762      331.359
       0.054        0.000       47.762      331.488
       0.054        0.000       47.762      331.488
       0.055        0.000       47.762      331.488
       0.056        0.000       47.762      331.488
       0.056        0.000       47.762      331.617
       0.057        0.000       47.762      331.617
       0.058        0.000       47.762      331.617
       0.058        0.000       48.020      331.617
       0.059        0.000       48.020      331.617
       0.060        0.000       48.020      331.754
       0.060        0.000       48.020      331.754
       0.061        0.000       48.020      331.754
       0.062     1397.400       48.020      331.883
       0.063        0.000       48.020      331.883
       0.063        0.000       48.277      332.012
       0.064        0.000       48.277      332.012
       0.065        0.000       48.277      332.141
       0.066     1306.500       48.535      332.141
       0.066        0.000       48.535      332.270
       0.067        0.000       48.535      332.270
       0.068        0.000       48.535      332.398
       0.068        0.000       48.793      332.398
       0.069        0.000       48.793      332.527
       0.069        0.000       48.793      332.656
       0.070        0.000       48.793      332.656
       0.071        0.000       49.051      332.656
       0.072        0.000       49.051      332.785
       0.072        0.000       49.051      332.914
       0.073        0.000       49.051      332.914
       0.074        0.000       49.051      333.047
       0.075        0.000       49.309      333.047
       0.075        0.000       49.309      333.047
       0.076        0.000       49.309      333.176
       0.077        0.000       49.309      333.176
       0.077        0.000       49.309      333.305
       0.078        0.000       49.309      333.305
       0.079        0.000       49.309      333.305
       0.079        0.000       49.566      333.305
       0.080        0.000       49.566      333.438
       0.081        0.000       49.566      333.438
       0.082        0.000       49.566      333.438
       0.082        0.000       49.566      333.438
       0.083        0.000       49.824      333.566
       0.084        0.000       49.824      333.566
       0.085        0.000       49.824      333.695
       0.085        0.000       49.824      333.695
       0.086        0.000       50.082      333.824
       0.087        0.000       50.082      333.824
