# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.980      392.230
       0.011        0.000       29.980      392.359
       0.012        0.000       30.238      392.617
       0.021        0.000       30.496      392.746
       0.021        0.000       30.496      392.875
       0.022        0.000       30.496      392.875
       0.023        0.000       30.496      393.004
       0.023        0.000       30.754      393.004
       0.024        0.000       30.754      393.133
       0.024       59.700       31.527      394.035
       0.041        0.000       31.527      394.035
       0.042        0.000       31.785      394.164
       0.042        0.000       31.785      394.164
       0.043        0.000       31.785      394.293
       0.043        0.000       31.785      394.293
       0.044        0.000       31.785      394.293
       0.044        0.000       31.785      394.426
       0.053        0.000       32.043      394.426
       0.054        0.000       32.043      394.555
       0.054        0.000       32.043      394.555
       0.055        0.000       32.043      394.555
       0.055        0.000       32.043      394.684
       0.056        0.000       32.043      394.684
       0.057        0.000       32.559      395.070
       0.065        0.000       32.816      395.199
       0.066        0.000       32.816      395.332
       0.066        0.000       32.816      395.461
       0.067     1833.800       32.816      395.461
       0.068        0.000       33.074      395.590
       0.068        0.000       33.848      396.500
       0.090        0.000       33.848      396.500
       0.090        0.000       33.848      396.500
       0.091        0.000       33.848      396.500
       0.091        0.000       33.848      396.500
       0.092        0.000       33.848      396.500
       0.092        0.000       33.848      396.500
       0.096        0.000       33.848      396.500
       0.100        0.000       34.363      397.145
       0.107        0.000       34.363      397.145
       0.110      351.200       34.875      397.535
       0.112        0.000       34.875      397.664
       0.114        0.000       34.875      397.664
       0.115        0.000       34.875      397.664
       0.115        0.000       34.875      397.664
       0.116        0.000       34.875      397.664
       0.116        0.000       34.875      397.664
       0.118        0.000       34.875      397.664
       0.119        0.000       34.875      397.664
       0.123        0.000       35.133      397.793
       0.126        0.000       35.391      398.051
       0.128        0.000       35.648      398.441
       0.131        0.000       35.648      398.570
       0.133        0.000       35.648      398.570
       0.133        0.000       35.648      398.570
       0.136        0.000       35.648      398.570
       0.137        0.000       35.648      398.570
       0.141        0.000       36.164      398.832
       0.144      262.500       36.422      399.348
       0.147        0.000       36.422      399.348
       0.149        0.000       36.422      399.348
       0.150        0.000       36.422      399.348
       0.152        0.000       36.422      399.348
       0.154        0.000       36.680      399.477
       0.157        0.000       36.680      399.609
       0.159        0.000       36.938      399.738
       0.161      260.000       37.195      399.996
       0.165        0.000       37.195      399.996
       0.168        0.000       37.195      400.125
       0.174        0.000       37.195      400.254
       0.174        0.000       37.711      400.512
       0.176        0.000       37.969      400.770
       0.180        0.000       37.969      400.770
       0.182        0.000       37.969      400.770
       0.185        0.000       37.969      400.770
       0.188        0.000       37.969      400.898
       0.190        0.000       38.227      401.160
       0.192      403.700       38.227      401.418
