# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       25.328      387.953
       0.003        0.000       25.586      388.082
       0.004        0.000       25.844      388.211
       0.006      694.800       25.844      388.340
       0.007        0.000       26.102      388.598
       0.009        0.000       26.359      388.727
       0.010        0.000       26.359      388.855
       0.012        0.000       26.359      388.984
       0.013        0.000       26.617      389.113
       0.015        0.000       26.617      389.242
       0.017        0.000       26.875      389.371
       0.018        0.000       27.133      389.500
       0.019        0.000       27.133      389.629
       0.021        0.000       27.391      389.887
       0.023        0.000       27.391      390.020
       0.024        0.000       27.648      390.148
       0.026        0.000       27.648      390.148
       0.028        0.000       27.906      390.277
       0.029      544.900       27.906      454.535
       0.031        0.000       28.164      454.668
       0.033        0.000       28.422      454.926
       0.035        0.000       28.422      455.055
       0.037        0.000       28.680      455.184
       0.040        0.000       28.680      455.184
       0.041        0.000       28.680      455.184
       0.041        0.000       28.680      455.312
       0.042        0.000       28.680      455.312
       0.043        0.000       28.680      455.441
       0.043        0.000       28.938      455.570
       0.044        0.000       28.938      455.699
       0.044        0.000       29.195      455.699
       0.045        0.000       29.195      455.828
       0.045        0.000       29.453      455.957
       0.046        0.000       29.453      456.090
       0.047        0.000       29.711      456.219
       0.048        0.000       29.711      456.348
       0.048        0.000       29.711      456.348
       0.049        0.000       29.711      456.348
       0.049        0.000       29.711      456.480
       0.050        0.000       29.969      456.480
       0.051        0.000       29.969      456.609
       0.051     2094.200       30.227      456.738
       0.052        0.000       30.227      456.871
       0.052        0.000       30.484      457.129
       0.053        0.000       30.484      457.258
       0.053        0.000       30.742      457.387
       0.054        0.000       30.742      457.645
       0.054        0.000       31.000      457.773
       0.055        0.000       31.000      457.902
       0.056        0.000       31.258      458.031
       0.056        0.000       31.258      458.160
       0.057        0.000       31.516      458.293
       0.057        0.000       31.516      458.422
       0.058        0.000       31.773      458.551
       0.058        0.000       31.773      458.680
       0.059        0.000       32.031      458.941
       0.060        0.000       32.289      459.070
       0.060     1746.400       32.289      459.070
       0.061        0.000       32.289      459.203
       0.061        0.000       32.547      459.461
       0.062        0.000       32.805      459.590
       0.062        0.000       32.805      459.719
       0.063        0.000       33.062      459.848
       0.063        0.000       33.062      460.000
       0.064        0.000       33.320      460.258
       0.065        0.000       33.320      460.387
       0.065        0.000       33.578      460.387
       0.066        0.000       33.578      460.520
       0.066        0.000       33.836      460.648
       0.067        0.000       33.836      460.777
       0.067        0.000       33.836      460.906
       0.068        0.000       34.094      461.035
       0.069     2041.600       34.094      461.164
       0.069        0.000       34.352      461.430
       0.070        0.000       34.609      461.691
